sigmoid,tanh,relu
0.0,1.5901641845703125,0.0
0.0,1.5752507448196411,0.0
0.0,1.5606077909469604,0.0
0.0,1.5464413166046143,0.0
0.0,1.5329006910324097,0.0
0.0,1.5200766324996948,0.0
0.0,1.5080143213272095,0.0
0.0,1.4967042207717896,0.0
0.0,1.4860693216323853,0.0
0.0,1.4760198593139648,0.0
0.0,1.4664654731750488,0.0
0.0,1.457314133644104,0.0
0.0,1.448480486869812,0.0
0.0,1.4398843050003052,0.0
0.0,1.431450366973877,0.0
0.0,1.4231045246124268,0.0
0.0,1.4147700071334839,0.0
0.0,1.4063643217086792,0.0
0.0,1.3978036642074585,0.0
0.0,1.3890053033828735,0.0
0.0,1.3798905611038208,0.0
0.0,1.3703898191452026,0.0
0.0,1.3604457378387451,0.0
0.0,1.3500159978866577,0.0
0.0,1.3390814065933228,0.0
0.0,1.3276487588882446,0.0
0.0,1.3157612085342407,0.0
0.0,1.3035022020339966,0.0
0.0,1.2909988164901733,0.0
0.0,1.2784180641174316,0.0
0.0,1.2659542560577393,0.0
0.0,1.2538113594055176,0.0
0.0,1.2421824932098389,0.0
0.0,1.2312228679656982,0.0
0.0,1.2210299968719482,0.0
0.0,1.2116297483444214,0.0
0.0,1.2029818296432495,0.0
0.0,1.1949955224990845,0.0
0.0,1.1875554323196411,0.0
0.0,1.1805448532104492,0.0
0.0,1.1738628149032593,0.0
0.0,1.1674306392669678,0.0
0.0,1.1611932516098022,0.0
0.0,1.155115008354187,0.0
0.0,1.1491730213165283,0.0
0.0,1.1433558464050293,0.0
0.0,1.1376630067825317,0.0
0.0,1.1321079730987549,0.0
0.0,1.1267168521881104,0.0
0.0,1.1215206384658813,0.0
0.0,1.1165471076965332,0.0
0.0,1.1118086576461792,0.0
0.0,1.1073004007339478,0.0
0.0,1.1030031442642212,0.0
0.0,1.0988961458206177,0.0
0.0,1.0949621200561523,0.0
0.0,1.0911895036697388,0.0
0.0,1.0875669717788696,0.0
0.0,1.0840798616409302,0.0
0.0,1.080708384513855,0.0
0.0,1.0774338245391846,0.0
0.0,1.0742433071136475,0.0
0.0,1.0711308717727661,0.0
0.0,1.0680941343307495,0.0
0.0,1.0651273727416992,0.0
0.0,1.0622206926345825,0.0
0.0,1.0593647956848145,0.0
0.0,1.0565558671951294,0.0
0.0,1.0537962913513184,0.0
0.0,1.0510892868041992,0.0
0.0,1.0484344959259033,0.0
0.0,1.0458264350891113,0.0
0.0,1.0432612895965576,0.0
0.0,1.040737271308899,0.0
0.0,1.0382534265518188,0.0
0.0,1.0358076095581055,0.0
0.0,1.0333926677703857,0.0
0.0,1.0310040712356567,0.0
0.0,1.0286409854888916,0.0
0.0,1.0263051986694336,0.0
0.0,1.0239967107772827,0.0
0.0,1.0217143297195435,0.0
0.0,1.019457221031189,0.0
0.0,1.017227053642273,0.0
0.0,1.0150247812271118,0.0
0.0,1.0128509998321533,0.0
0.0,1.0107043981552124,0.0
0.0,1.00858736038208,0.0
0.0,1.0065042972564697,0.0
0.0,1.0044597387313843,0.0
0.0,1.0024588108062744,0.0
0.0,1.0005059242248535,0.0
0.0,0.998607873916626,0.0
0.0,0.9967691898345947,0.0
0.0,0.9949923157691956,0.0
0.0,0.9932751655578613,0.0
0.0,0.9916138648986816,0.0
0.0,0.9900013208389282,0.0
0.0,0.9884289503097534,0.0
0.0,0.986888587474823,0.0
0.0,0.9853749871253967,0.0
0.0,0.9838878512382507,0.0
0.0,0.9824294447898865,0.0
0.0,0.9810050129890442,0.0
0.0,0.9796189069747925,0.0
0.0,0.9782750010490417,0.0
0.0,0.9769755601882935,0.0
0.0,0.9757199287414551,0.0
0.0,0.974505603313446,0.0
0.0,0.973330020904541,0.0
0.0,0.9721894860267639,0.0
0.0,0.9710804224014282,0.0
0.0,0.9700010418891907,0.0
0.0,0.9689499139785767,0.0
0.0,0.967926561832428,0.0
0.0,0.966931164264679,0.0
0.0,0.9659634232521057,0.0
0.0,0.9650238156318665,0.0
0.0,0.9641126990318298,0.0
0.0,0.9632293581962585,0.0
0.0,0.9623739719390869,0.0
0.0,0.9615455865859985,0.0
0.0,0.9607437252998352,0.0
0.0,0.9599675536155701,0.0
0.0,0.9592159390449524,0.0
0.0,0.9584874510765076,0.0
0.0,0.9577816128730774,0.0
